location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-10-14 00:00:00 +0200;Wednesday;20703;11;cloudy;
Holstenstraße (Mitte), Kiel;2020-10-15 00:00:00 +0200;Thursday;22142;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-16 00:00:00 +0200;Friday;21984;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-17 00:00:00 +0200;Saturday;24511;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-18 00:00:00 +0200;Sunday;5946;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-10-19 00:00:00 +0200;Monday;16925;11;rain;
Holstenstraße (Mitte), Kiel;2020-10-20 00:00:00 +0200;Tuesday;17191;11;rain;
Holstenstraße (Mitte), Kiel;2020-10-21 00:00:00 +0200;Wednesday;13430;15;rain;
Holstenstraße (Mitte), Kiel;2020-10-22 00:00:00 +0200;Thursday;17426;16;rain;
Holstenstraße (Mitte), Kiel;2020-10-23 00:00:00 +0200;Friday;19229;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-24 00:00:00 +0200;Saturday;22311;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-25 00:00:00 +0200;Sunday;3931;15;rain;
Holstenstraße (Mitte), Kiel;2020-10-26 00:00:00 +0100;Monday;15456;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-27 00:00:00 +0100;Tuesday;16223;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-28 00:00:00 +0100;Wednesday;16124;13;rain;
Holstenstraße (Mitte), Kiel;2020-10-29 00:00:00 +0100;Thursday;15553;12;rain;
Holstenstraße (Mitte), Kiel;2020-10-30 00:00:00 +0100;Friday;17051;14;rain;
Holstenstraße (Mitte), Kiel;2020-10-31 00:00:00 +0100;Saturday;6751;14;rain;
Holstenstraße (Mitte), Kiel;2020-11-01 00:00:00 +0100;Sunday;6394;14;rain;
Holstenstraße (Mitte), Kiel;2020-11-02 00:00:00 +0100;Monday;13663;18;rain;
Holstenstraße (Mitte), Kiel;2020-11-03 00:00:00 +0100;Tuesday;14117;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-04 00:00:00 +0100;Wednesday;12645;12;rain;
Holstenstraße (Mitte), Kiel;2020-11-05 00:00:00 +0100;Thursday;12655;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-06 00:00:00 +0100;Friday;14273;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-07 00:00:00 +0100;Saturday;18847;10;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-08 00:00:00 +0100;Sunday;3703;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-09 00:00:00 +0100;Monday;12309;8;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-10 00:00:00 +0100;Tuesday;11917;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-11 00:00:00 +0100;Wednesday;11220;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-12 00:00:00 +0100;Thursday;11758;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-13 00:00:00 +0100;Friday;14689;10;rain;
Holstenstraße (Mitte), Kiel;2020-11-14 00:00:00 +0100;Saturday;18429;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-15 00:00:00 +0100;Sunday;4579;15;rain;
Holstenstraße (Mitte), Kiel;2020-11-16 00:00:00 +0100;Monday;11623;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-17 00:00:00 +0100;Tuesday;10591;13;rain;
Holstenstraße (Mitte), Kiel;2020-11-18 00:00:00 +0100;Wednesday;12496;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-19 00:00:00 +0100;Thursday;11337;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-20 00:00:00 +0100;Friday;14325;7;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-21 00:00:00 +0100;Saturday;14361;9;rain;
Holstenstraße (Mitte), Kiel;2020-11-21 00:00:00 +0100;Saturday;21;;;
Holstenstraße (Mitte), Kiel;2020-11-22 00:00:00 +0100;Sunday;4183;10;rain;
Holstenstraße (Mitte), Kiel;2020-11-23 00:00:00 +0100;Monday;14359;9;rain;
Holstenstraße (Mitte), Kiel;2020-11-24 00:00:00 +0100;Tuesday;13290;9;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-25 00:00:00 +0100;Wednesday;14133;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-26 00:00:00 +0100;Thursday;14773;9;rain;
Holstenstraße (Mitte), Kiel;2020-11-27 00:00:00 +0100;Friday;25761;6;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-28 00:00:00 +0100;Saturday;24386;5;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-29 00:00:00 +0100;Sunday;4411;4;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-30 00:00:00 +0100;Monday;16120;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-01 00:00:00 +0100;Tuesday;15694;5;rain;
